Meter Number,Customer Account Number,Port,Channel,Conversion Factor,Data Type,Start Date,Start Time,InvertalValue,InevertalHour,QCCode
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.0528,2,0003.0528
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,3,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,4,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,5,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.0528,6,0003.0528
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1680,7,0003.1680
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,8,0003.1104
17047297,1699031600,0,0,.0576,KWH,101017,00:00,0003.1104,9,0003.1104
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,1,0003.1690
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,10,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,11,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,13,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,3,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,5,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,6,0003.0720
15104672,1700000900,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,8,0003.0720
3163968,1700014100,0,0,.0576,KWH,101017,00:00,0003.1104,1,0003.1104
3163968,1700014100,0,0,.0576,KWH,101017,00:00,0003.8016,2,0003.8016
3163968,1700014100,0,0,.0576,KWH,101017,00:00,0003.1104,3,0003.1104
20544516,1700015169,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,8,0003.1690
35212760,1700015169,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,7,0003.0720
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.5025,1,0003.5025
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.3405,10,0003.3405
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.7230,11,0003.7230
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.7905,12,0003.7905
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.7110,13,0003.7110
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.5280,14,0003.5280
12151351,1701021100,0,0,.0015,UNITS,101017,00:00,0003.0255,9,0003.0255
11415921,1703006901,0,0,.096,KWH,101017,00:00,0003.6480,9,0003.6480
3921190,1703602,0,0,.0576,KWH,101017,00:00,0003.3984,10,0003.3984
3921190,1703602,0,0,.0576,KWH,101017,00:00,0003.4560,9,0003.4560
12119636,1704032500,0,1,.128,Fwd Consumption in Watts,101017,00:00,0000.0000,9,0003.8400
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.7440,10,0003.7440
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.6000,11,0003.6000
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.6180,12,0003.6180
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.9240,13,0003.9240
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.3840,14,0003.3840
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.8700,8,0003.8700
3818882,1708039500,0,0,.018,UNITS,101017,00:00,0003.3660,9,0003.3660
13128805,170900,0,0,.0576,KWH,101017,00:00,0003.9744,9,0003.9744
16541578,1711056100,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,12,0003.0720
16541578,1711056100,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,14,0003.4560
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.5840,1,0003.5840
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,11,0003.0720
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,12,0003.0720
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.3280,13,0003.3280
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.1690,14,0003.1690
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.4560,2,0003.4560
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.3280,3,0003.3280
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.1690,4,0003.1690
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.1690,5,0003.1690
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.3280,6,0003.3280
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,7,0003.0720
10515734,1711068300,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,9,0003.0720
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.9680,10,0003.9680
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.7120,11,0003.7120
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.5169,12,0003.5169
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.4560,3,0003.4560
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.6480,4,0003.6480
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.8400,5,0003.8400
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.3920,6,0003.3920
13089116,1711090400,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.5169,7,0003.5169
14544851,1711704700,0,1,.128,Fwd Consumption in Watts,101017,00:00,0003.0720,3,0003.0720
15114415,1717915,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,10,0003.7120
15114415,1717915,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,14,0003.4560
15114415,1717915,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,8,0003.7120
13922325,171900,0,0,.096,KWH,101017,00:00,0003.3600,10,0003.3600
13922325,171900,0,0,.096,KWH,101017,00:00,0003.1680,14,0003.1680
15254498,1723003,0,0,.0576,KWH,101017,00:00,0003.8592,13,0003.8592
11044197,1735000,0,0,.0576,KWH,101017,00:00,0003.6288,1,0003.6288
3817961,1737400,0,0,.0576,KWH,101017,00:00,0003.2256,13,0003.2256
3817961,1737400,0,0,.0576,KWH,101017,00:00,0003.5136,9,0003.5136
13129466,1752404,0,0,.0576,KWH,101017,00:00,0003.0528,10,0003.0528
13129466,1752404,0,0,.0576,KWH,101017,00:00,0003.1680,8,0003.1680
15113310,1760604,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,11,0003.1690
20546604,1762600,0,1,.128,Signed Net in Watts,101017,00:00,0003.8400,8,0003.8400
14094511,1763501,0,0,.096,KWH,101017,00:00,0003.6480,8,0003.6480
15115713,1787170,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,12,0003.4560
3165869,1788802,0,0,.0576,KWH,101017,00:00,0003.6288,3,0003.6288
3921055,1840003,0,0,.0576,KWH,101017,00:00,0003.6864,8,0003.6864
3812514,1861601,0,0,.0576,KWH,101017,00:00,0003.1104,7,0003.1104
33849318,1877901,0,1,.128,Signed Net in Watts,101017,00:00,0003.3280,9,0003.3280
18269521,1884501,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,8,0003.7120
15104085,190002,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,3,0003.5840
3811177,1922302,0,0,.0576,KWH,101017,00:00,0003.3408,1,0003.3408
3165273,19243905,0,0,.0576,KWH,101017,00:00,0003.9168,6,0003.9168
17047270,1928169,0,0,.0576,KWH,101017,00:00,0003.4560,12,0003.4560
17047270,1928169,0,0,.0576,KWH,101017,00:00,0003.6864,8,0003.6864
3918941,1944703,0,0,.0576,KWH,101017,00:00,0003.2832,12,0003.2832
3164981,1959500,0,0,.0576,KWH,101017,00:00,0003.3408,6,0003.3408
3258487,1973169,0,0,.0576,KWH,101017,00:00,0003.0528,5,0003.0528
3258487,1973169,0,0,.0576,KWH,101017,00:00,0003.9168,8,0003.9168
13089102,1973703,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.5169,7,0003.5169
13089102,1973703,0,1,.064,Fwd Consumption in Watts,101017,00:00,0003.5840,8,0003.5840
16807819,1997902,0,0,.096,KWH,101017,00:00,0003.0720,8,0003.0720
11039359,206303,0,0,.0576,KWH,101017,00:00,0003.5136,9,0003.5136
3810943,2068102,0,0,.0576,KWH,101017,00:00,0003.2256,1,0003.2256
15116138,2103100,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,5,0003.4560
15116138,2103100,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,6,0003.5840
15116138,2103100,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,7,0003.5840
15116138,2103100,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,8,0003.5840
16807806,2113402,0,0,.096,KWH,101017,00:00,0003.1680,6,0003.1680
16807806,2113402,0,0,.096,KWH,101017,00:00,0003.6480,7,0003.6480
18606139,2137402,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,14,0003.0720
17047284,2137900,0,0,.0576,KWH,101017,00:00,0003.5136,7,0003.5136
17047284,2137900,0,0,.0576,KWH,101017,00:00,0003.8592,8,0003.8592
3165813,2144500,0,0,.0576,KWH,101017,00:00,0003.3408,2,0003.3408
3165813,2144500,0,0,.0576,KWH,101017,00:00,0003.0528,8,0003.0528
3919123,2148101,0,0,.0576,KWH,101017,00:00,0003.3984,2,0003.3984
3919123,2148101,0,0,.0576,KWH,101017,00:00,0003.4560,4,0003.4560
11043980,2153600,0,0,.0576,KWH,101017,00:00,0003.6288,8,0003.6288
15254147,2161301,0,0,.0576,KWH,101017,00:00,0003.2832,11,0003.2832
11415931,2165101,0,0,.096,KWH,101017,00:00,0003.0720,3,0003.0720
11415931,2165101,0,0,.096,KWH,101017,00:00,0003.1680,4,0003.1680
11415931,2165101,0,0,.096,KWH,101017,00:00,0003.0720,5,0003.0720
11415931,2165101,0,0,.096,KWH,101017,00:00,0003.2640,6,0003.2640
11415931,2165101,0,0,.096,KWH,101017,00:00,0003.4560,7,0003.4560
230154119,2202100,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,13,0003.1690
3260195,2219170,0,0,.0576,KWH,101017,00:00,0003.5712,7,0003.5712
15254850,2222902,0,0,.0576,KWH,101017,00:00,0003.3984,11,0003.3984
15106833,2230008,0,1,.128,Signed Net in Watts,101017,00:00,0003.4560,12,0003.4560
84469455,2238705,0,0,.006,UNITS,101017,00:00,0003.9300,14,0003.9300
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.7140,1,0003.7140
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6720,10,0003.6720
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6240,11,0003.6240
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6420,12,0003.6420
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6360,13,0003.6360
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6540,14,0003.6540
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6720,2,0003.6720
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6540,3,0003.6540
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6420,4,0003.6420
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6660,5,0003.6660
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6660,6,0003.6660
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6600,7,0003.6600
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6600,8,0003.6600
84469441,2239402,0,0,.006,UNITS,101017,00:00,0003.6600,9,0003.6600
15254376,2254501,0,0,.0576,KWH,101017,00:00,0003.8016,1,0003.8016
15254172,2266400,0,0,.0576,KWH,101017,00:00,0003.2256,9,0003.2256
16542328,2273304,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,1,0003.0720
15024223,2283800,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,9,0003.5840
18269512,2288303,0,1,.128,Signed Net in Watts,101017,00:00,0003.9680,1,0003.9680
18269512,2288303,0,1,.128,Signed Net in Watts,101017,00:00,0003.9680,2,0003.9680
3814283,2323600,0,0,.0576,KWH,101017,00:00,0003.0528,13,0003.0528
3814283,2323600,0,0,.0576,KWH,101017,00:00,0003.1680,9,0003.1680
3919876,2333203,0,0,.0576,KWH,101017,00:00,0003.6864,8,0003.6864
17317047,2339300,0,1,.128,Signed Net in Watts,101017,00:00,0003.0720,9,0003.0720
16508483,2346901,0,1,.128,Signed Net in Watts,101017,00:00,0003.5840,11,0003.5840
16508483,2346901,0,1,.128,Signed Net in Watts,101017,00:00,0003.7120,12,0003.7120
15254155,2354804,0,0,.0576,KWH,101017,00:00,0003.3984,9,0003.3984
3963788,2467400,0,0,.0576,KWH,101017,00:00,0003.3408,1,0003.3408
16508581,2480401,0,1,.128,Signed Net in Watts,101017,00:00,0003.1690,7,0003.1690
3811986,2499600,0,0,.0576,KWH,101017,00:00,0003.8592,8,0003.8592
11043815,2512900,0,0,.0576,KWH,101017,00:00,0003.8016,6,0003.8016
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.5220,1,0003.5220
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.4980,2,0003.4980
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.4920,3,0003.4920
34287056,2523000,0,0,.006,UNITS,101017,00:00,0003.4740,4,0003.4740
